Channel No,RX Freq [MHz],TX Freq [MHz],RX CTCSS/DCS,TX CTCSS/DCS,Power,Bandwidth,Scrambler,PTT ID,Freq Hop,Busy Lock,Scan,Rx Model,Name
20,446.00000,446.00000,OFF,OFF,High,Narrow,0,Off,OFF,OFF,ON,FM,PMR0
21,446.00625,446.00625,OFF,OFF,High,Narrow,0,Off,OFF,OFF,ON,FM,PMR1
22,446.01875,446.01875,OFF,OFF,High,Narrow,0,Off,OFF,OFF,ON,FM,PMR2
23,446.03125,446.03125,OFF,OFF,High,Narrow,0,Off,OFF,OFF,ON,FM,PMR3
24,446.04375,446.04375,OFF,OFF,High,Narrow,0,Off,OFF,OFF,ON,FM,PMR4
25,446.05625,446.05625,OFF,OFF,High,Narrow,0,Off,OFF,OFF,ON,FM,PMR5
26,446.06875,446.06875,OFF,OFF,High,Narrow,0,Off,OFF,OFF,ON,FM,PMR6
27,446.08125,446.08125,OFF,OFF,High,Narrow,0,Off,OFF,OFF,ON,FM,PMR7
28,446.09375,446.09375,OFF,OFF,High,Narrow,0,Off,OFF,OFF,ON,FM,PMR8
29,446.10000,446.10000,OFF,OFF,High,Narrow,0,Off,OFF,OFF,ON,FM,PMR9
31,433.07500,433.07500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD01
32,433.10000,433.10000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD02
33,433.12500,433.12500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD03
34,433.15000,433.15000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD04
35,433.17500,433.17500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD05
36,433.20000,433.20000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD06
37,433.22500,433.22500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD07
38,433.25000,433.25000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD08
39,433.27500,433.27500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD09
40,433.30000,433.30000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD10
41,433.32500,433.32500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD11
42,433.35000,433.35000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD12
43,433.37500,433.37500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD13
44,433.40000,433.40000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD14
45,433.42500,433.42500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD15
46,433.45000,433.45000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD16-EM
47,433.47500,433.47500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD17
48,433.50000,433.50000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD18-CL
49,433.52500,433.52500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD19
50,433.55000,433.55000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD20
51,433.57500,433.57500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD21
52,433.60000,433.60000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD22
53,433.62500,433.62500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD23
54,433.65000,433.65000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD24
55,433.67500,433.67500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD25
56,433.70000,433.70000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD26
57,433.72500,433.72500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD27
58,433.75000,433.75000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD28
59,433.77500,433.77500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD29
60,433.80000,433.80000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD30
61,433.82500,433.82500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD31
62,433.85000,433.85000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD32
63,433.87500,433.87500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD33
64,433.90000,433.90000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD34
65,433.92500,433.92500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD35
66,433.95000,433.95000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD36
67,433.97500,433.97500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD37
68,434.00000,434.00000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD38
69,434.02500,434.02500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD39
70,434.05000,434.05000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD40
71,434.07500,434.07500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD41
72,434.10000,434.10000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD42
73,434.12500,434.12500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD43
74,434.15000,434.15000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD44
75,434.17500,434.17500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD45
76,434.20000,434.20000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD46
77,434.22500,434.22500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD47
78,434.25000,434.25000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD48
79,434.27500,434.27500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD49
80,434.30000,434.30000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD50
81,434.32500,434.32500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD51
82,434.35000,434.35000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD52
83,434.37500,434.37500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD53
84,434.40000,434.40000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD54
85,434.42500,434.42500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD55
86,434.45000,434.45000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD56
87,434.47500,434.47500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD57
88,434.50000,434.50000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD58
89,434.52500,434.52500,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD59
90,434.55000,434.55000,OFF,OFF,High,Wide,0,Off,OFF,OFF,ON,FM,LPD60
91,462.12500,462.12500,69.3,69.3,High,Wide,0,Off,OFF,OFF,OFF,FM,RTVS01
92,462.22500,462.22500,OFF,OFF,High,Wide,0,Off,OFF,OFF,OFF,FM,RTVS02
93,462.32500,462.32500,OFF,OFF,Low,Wide,0,Off,OFF,OFF,OFF,FM,RTVS03
94,462.42500,462.42500,103.5,103.5,Low,Wide,0,Off,OFF,OFF,OFF,FM,RTVS04
95,462.52500,462.52500,114.8,114.8,Low,Wide,0,Off,OFF,OFF,OFF,FM,RTVS05
96,462.62500,462.62500,127.3,127.3,Low,Wide,0,Off,OFF,OFF,OFF,FM,RTVS06
97,462.72500,462.72500,136.5,136.5,Low,Wide,0,Off,OFF,OFF,OFF,FM,RTVS07
98,462.82500,462.82500,162.2,162.2,Low,Wide,0,Off,OFF,OFF,OFF,FM,RTVS08
99,462.92500,462.92500,D025N,D025N,Low,Wide,0,Off,OFF,OFF,OFF,FM,RTVS09
100,463.02500,463.02500,D051N,D051N,Low,Wide,0,Off,OFF,OFF,OFF,FM,RTVS10
101,463.12500,463.12500,D125N,D125N,Low,Wide,0,Off,OFF,OFF,OFF,FM,RTVS11
102,463.22500,463.22500,D155I,D155I,Low,Wide,0,Off,OFF,OFF,OFF,FM,RTVS12
103,463.52500,463.52500,D465I,D465I,Low,Wide,0,Off,OFF,OFF,OFF,FM,RTVS13
104,450.22500,450.22500,D023N,D023N,Low,Wide,0,Off,OFF,OFF,OFF,FM,RTVS14
105,460.32500,460.32500,OFF,OFF,Low,Wide,0,Off,OFF,OFF,OFF,FM,RTVS15
106,469.95000,469.95000,203.5,203.5,Low,Wide,0,Off,OFF,OFF,OFF,FM,RTVS16
