Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
20,PMR0,446,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
21,PMR1,446.00625,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
22,PMR2,446.01875,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
23,PMR3,446.03125,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
24,PMR4,446.04375,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
25,PMR5,446.05625,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
26,PMR6,446.06875,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
27,PMR7,446.08125,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
28,PMR8,446.09375,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
29,PMR9,446.1,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
31,LPD01,433.075,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
32,LPD02,433.1,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
33,LPD03,433.125,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
34,LPD04,433.15,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
35,LPD05,433.175,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
36,LPD06,433.2,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
37,LPD07,433.225,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
38,LPD08,433.25,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
39,LPD09,433.275,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
40,LPD10,433.3,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
41,LPD11,433.325,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
42,LPD12,433.35,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
43,LPD13,433.375,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
44,LPD14,433.4,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
45,LPD15,433.425,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
46,LPD16-EM,433.45,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
47,LPD17,433.475,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
48,LPD18-CL,433.5,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
49,LPD19,433.525,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
50,LPD20,433.55,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
51,LPD21,433.575,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
52,LPD22,433.6,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
53,LPD23,433.625,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
54,LPD24,433.65,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
55,LPD25,433.675,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
56,LPD26,433.7,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
57,LPD27,433.725,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
58,LPD28,433.75,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
59,LPD29,433.775,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
60,LPD30,433.8,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
61,LPD31,433.825,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
62,LPD32,433.85,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
63,LPD33,433.875,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
64,LPD34,433.9,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
65,LPD35,433.925,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
66,LPD36,433.95,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
